org_name,org_uuid,long_description,,
5C Network,53540bbe-664b-86f4-520c-956a6d58c9a2,"We are India's First Diagnostics Network, and we make radiodiagnosis more accessible, affordable and accurate through technology. We are 5C because for the first time, the 5 stakeholders of Radiodiagnosis: The Doctor, Radiologist, Patient, Technologist and Hospital have a solution for each of their problems, through us. We are 5-Connected, 5-Collaborating, or as we like to call it: 5Clique.",,
5G Dispensing Systems,8d90bdb5-0b2e-4833-a740-c4d32595776c,"5G Dispensing Systems designs, manufactures, and distributes advanced on tap beverage dispensing systems. 5G was founded by Lev Volftsun.",,
802 Secure,20055ca4-c480-0b52-7f3f-cbcea17685c2,"Through award-winning, next-generation, wireless network security solutions and services, 802 Secure helps enterprises safely deploy and benefit from innovative, wireless and ''internet of things'' (IoT) enabled business processes and technologies.",,
8Greens,64a1180d-9f74-40ad-a415-e8773c1ef343,"8Greens is a health and wellness company for people with busy lives, who want healthy lives. The 8Greens is an effervescent tablet containing these eight critical green, blue-green algae, organic aloe vera, barley grass, spinach, kale, spirulina, chlorella, and wheatgrass. Each tablet has zero sugar and just nine calories, helping users to consume greens on-the-go. The company's mission is to simplify the process, to make green consumption as easy as humanly possible. 8Greens was founded in 2015 and is headquartered in New York, USA.",,
ACTON,e42b6da9-bb6e-178a-34d2-7783bfd5c5f9,"ACTON creates micro mobility package that amplify the power of the human body, reduce traffic, and manages urban fleets efficiently. ACTON is based in California.",,
AEENA Dx,c17e8c24-1951-c023-2ea6-1a661b10c1c9,AEENA Dx is developing a saliva-based platform for the detection of cancer and disease.,,
AEInnova,316e4b4c-a8b4-a973-493e-dc5414c596c0,"Founded in 2014 in the Microelectronics Department of the Autonomous University of Barcelona by 4 PhDs in microelectronics and 4 engineers in electronics, telecom, mechanical, industrial and computer science, working in WSN and Energy harvesting projects, several with the European Agency of Space. AEInnova redefines the iIoT creating the most advanced device for predictive maintenance. It is fully battery-less, free of maintenance and completely autonomous and self-powered. The solution called InduEye allows vibration monitoring, steam trap monitoring, thermal monitoring being all of them powered by Waste Heat (and new versions with solar PV and Wind). Its main innovation comes from his patent (accepted in the US, Canada, and EU) that allows multiplying the performance of the device compared to any other competitor. that is summarized allowing full edge computing (FFT in real-time, Velocity in RSM in real-time, etc), using the most advanced wireless standards such us LoRaWAN or NB-IoT / LTE-CAT M, allowing communications every few seconds of latency. The solution has the CE MARK and the ATEX / IECEX certification. FCC ongoing. The technology is working in real industrial facilities in the following customers: + Oil&Gas (Repsol SA, Cepsa SA, ILBOC oil refineries). + aluminium (Derichebourg). + IRON & Steel (Celsa SA). + Paper (Gomà Camps SA). + Rubber & tyres (Sacyr Valoriza, Cirtec). + Leachate plants (Ferrovial Servicios). + Water Treatment plants (Aigues de Mataró). + Coal Power plants (ENEL). + Chemical plant (ERCROS). + Soybean plant (BUNGE). + Subway (Metro Barcelona). + Cement and concrete (Ciments Molins, Promsa). Data of AEinnova's IoT devices are represented in one of the most advanced IoT cloud-based dashboards in the market, with full data analytics, alarms, alerts, environmental impact analysis (LCA), and predictive maintenance tools. AEInnova is a TOP EU leading scale-up awarded by 27 international prizes due to its innovative technology (IoT World Cup, Santander X, United Nations Global Compact, Industrial Internet Consortium, United Nations Ideas 4 Change, Green Building Council, Repsol Foundation, EBAN, 6 seals of excellence from the European Comissions, etc). In 2022 it is ranked in the Top 30 EU Scale-ups and in the Top 10 in sustainability, being the TOP EU Innovator in Autonomous Sensor. In 2021 AEInnova has been one of the 24 EU Scale-ups being directly invested by the European Commission EIC Fund. In 2022 it's in fund-raising for 5M€ round A. In 2022 we are working on 5 big EU R&D projects related to Energy Harvesting and IoT). One of them is called Harvestore.eu, being AEInnova technology partners with the Top EU research institutes of the Imperial College of London, TU Wien, Conventry University, IMEC, CNRS, Horiba, CSIC, etc) being the world lighthouse project in energy harvesting and IoT ever developed.",,
AGI Innovations Inc.,6ba01ff6-2f4e-9a1d-cb21-a3a79b6335b9,"AGI Innovations is a developer of an advanced, general-purpose natural language intelligence engine. The Company was founded in August 2013 with the goal of developing and commercializing intelligence engines based on artificial general (AGI) theory.",,
AGRIVI,977f4604-8408-9999-2d6d-18de3e74183b,AGRIVI is a global agritech company that supports agri-food value chain with digital agriculture technologies. AGRIVI's market leading farm management platform is used by customers in 100+ countries.,,
AI Samurai,bae5f5fb-a917-45e6-9f41-ca21a20354c4,AI Samurai specializes in the development and sales of artificial intelligence technology. It also supports patent research and technical research. The company was founded in 2015.,,
AIR.TV,13be57c2-10f0-fd39-d06c-6d261fe8d0b9,"AIR.TV enables the distribution and monetization of viral videos on websites. Publishers and content owners are now able to generate earnings when publishers embed videos on their website. It's completely automatic and it works with existing articles, embeds, and workflow. Publishers add one line of code to their site to start generating earnings. AIR.TV is based in Los Angeles. Visit us at www.air.tv to learn more.",,
ALTILIA,9632dcc5-9309-5d20-3a24-240408c129ca,"Altilia is a leading intelligent automation software company on a mission to democratize the use of AI and to help enterprises automate document-intensive business processes. Altilia's team consists of highly experienced AI professionals, including scientists, researchers and engineers, ready to partner with you to help solve business challenges across your organization. Altilia's no-code SaaS-based platform enables users from all backgrounds — from highly technical to business oriented — to easily transfer knowledge into algorithms to automate document processing across all areas of their business. Using a range of sophisticated machine learning capabilities, the Altilia platform enables businesses to build AI models capable of processing all types of documents, with varying degrees of complexity. Customers can easily extract data from simpler, form-like documents (including invoices, orders and other forms) while also processing complex unstructured documents (like financial statements, balance sheets and annual reports) with the precision and accuracy of real humans. Altilia's platform can provide custom document processing automation solutions across several industries, with a current focus on Banking, insurance, utilities, retail, securities. Use case applications can range from Content Acquisition and Classification, Price Intelligence, Sentiment Analysis, Customer Profiling, Fraud Detection, Anti-Money Laundering, Portfolio Valuations, Risk Profiling, Data Integration and Virtualization. Altilia has been recently listed by Gartner among representative IDP software providers in a fast-growing market, and furthermore into a small subset of vendors who are developing their own marketplaces. This means transitioning from the traditional approach (bespoke project with project and implementation times and costs) to a ‘out of the box’ approach with bundled solutions ready to use.",,
AMI,02966b7b-565e-89a0-799e-d7669defb995,"AMI is an affiliate and influencer marketing management platform that offers brands a highly customizable tech solution for the modern marketer. At AMI, we empower brands to cultivate authentic, performance-based marketing programs by automating day-to-day operations, consulting on dynamic commissioning models, streamlining metric tracking, and supporting revenue optimization. Our custom solutions helps brands build a powerful, in-house platform that enables seamless creation, integration, and management of influencers and affiliate campaigns. We are passionate about helping brands build connections with influencers, drive brand awareness and engagement, and achieve sustainable, long-term success.",,
ANGLR,7af8e4d7-5609-b3b7-db14-12d79474ea47,"Anglr is a vertical social app and connected device company focused on the $50B sportfishing industry. The centerpiece of the Anglr ecosystem is its best-in-class, on-water fishing app that, enhanced by a connected suite of award-winning IoT devices, enables users to turn their iPhone or Android into a sophisticated digital logbook and social network that records an angler’s most important fishing stats and memories. Once off the water, anglers can “dive deep” into their stats to reminisce, improve, brag, scroll through photos, give fist-bumps, prepare for their next fishing adventure, and more. Check out the ANGLR app at www.anglr.com …… Fishing is fun. ANGLR makes it funner!",,
ANKA,7c9e6d25-8cf0-80a5-dfd6-d1a21337534d,"ANKA is a platform to discover, buy, and sell African fashion, arts, and crafts. ANKA’s goal is to allow African creation lovers to live their passion while allowing the creators to live from theirs. ANKA facilitates transactions and exchanges directly between buyers and sellers on both sides of the world, in a user-friendly and secure way.",,
AOMS Technologies,d88a987e-21dd-7c24-5023-f28057dbf776,"AOMS Technologies provides integrated Industrial IoT platforms for generating actionable insights from assets and processes to enhance efficiency and productivity, reduce operation costs, increase safety, and improve environmental sustainability. AOMS IoT platforms are integrated sensors and analytics tools developed for harsh environments and heavy industrial applications where conventional technologies fail, lose performance, or cannot be deployed efficiently.",,
APICloud,d08c75d5-590b-d7a3-c72c-30f4bc3ddd69,"APICloud is the first and leading mobile app cloud service provider in China. We offer an integrated development environment with comprehensive backend services and mobile-optimized API modules. Leveraging our innovative hybrid app engine, mobile developers can use a single JavaScript codebase to build cross-platform apps with amazing native experience. APICloud’s Cloud API and Client API are able to simplify the development of mobile apps and reduce the development cycle from one month to 7 days. With the cloud-based development environment, all developers have to do is to focus on building amazing apps, and APICloud handles the rest.",,
ARAYA,7e5c11f6-9cff-40a7-8b0f-47afbd63e629,"ARAYA is an AI services provider that utilizes machine learning algorithms including deep learning to meet the diverse needs of customers. By building deep learning algorithms, ARAYA helps recognize and identify humans, objects, and states from images and sensors. Its unique deep learning compression technology enables smaller, faster and more power-efficient deep learning algorithms without compromising accuracy. By developing autonomous AI that can potentially bridge to artificial consciousness, ARAYA is aiming to make artificial intelligence in the next generation. The company was founded in 2013 and is based in Tokyo, Japan.",,
ASENSEI,4e72ee6b-3632-4032-b070-ab706f5ec63d,"ASENSEI provides everything a technology company needs to add motion capture (3D Computer Vision and Connected Apparel) and activity-specific understanding and coaching to their product or service. (APP)AREL AND (APP)ERTURE We provide sensors harnesses and firmware to apparel companies, and 3D computer vision to apps and fitness products, that are interoperable. ASENSEI.AI SDK We provide a cross-platform software development kit to third party developers so that they can easily add motion capture powered experiences to their products and apps. TECHNIQUE LIBRARY An ever-growing library of exercises and associated coaching cues, progressions and regressions that further reduce a partner’s time to market. COACHING BLUEPRINTS Deliver high-value use-cases out of the box, with prefabricated solution accelerators. (APP)AREL Bring real-time motion capture to your platform via ASENSEI connected apparel. (APP)ERTURE Bring real-time motion capture to your platform via ASENSEI 3D computer vision using an ordinary RGB camera. REAL-TIME COACHING Never miss a movement. Count reps and motivate practice. Identify common movement flaws and cue your customers with real-time corrections. INSTRUCTIONAL LEARNING Onboard new customers through instructional teaching of your platform's common movements. MOVEMENT SCREEN The smarter way to warm up. Identify imbalance, tightness, asymmetry. Warm up intelligently, adjust programming or recommend cross-modality training. TRAINING JOURNAL Provide post-workout feedback, coaching notes, skill practice suggestions and progress tracking. DOJO Train asensei to recognize and understand posture and movement.",,
ASTERRA,fdbe3a5d-f5ac-43ba-0630-61f3e72d5ef7,"ASTERRA provides data driven solutions for utilities, government agencies, and the greater infrastructure industry. Using synthetic aperture radar (SAR) data from satellites and turning it into large scale data decision support tools for our customers is what we do. Why look at a single data point when you can get an entire system survey at once? Our proprietary algorithms and highly educated staff of scientists and engineers are the key to our mission, to advance planet Earth’s resource resilience through SAR analytics. ASTERRA was founded in 2013 as Utilis, and has been providing its Recover satellite-based leak detection product to utilities since 2016. With no equipment or CAPEX spending necessary, the solution and pricing is attractive to small or large utilities alike. Based on our success with leak detection, ASTERRA has launched new data products using our patented ability to detect any soil moisture below ground, bringing to market true satellite-based infrastructure intelligence.",,
ATOMIZED,1767aa26-896e-5a1b-9f67-791f33533b63,"ATOMIZED is an omnichannel visual content calendar designed with marketers in mind. This simple but powerful layout allows teams to quickly and easily compare campaigns across all mediums. Its patented and cloud-based design encourages ideation, collaboration, planning, and comparing, on the go and from any device. It was founded in 2013 and is headquartered in Atlanta, Georgia.",,
ATXA Therapeutics,9f5efda2-8f1f-4f24-b1da-0328be79be33,"ATXA Therapeutics Limited is a spin-out company from University College Dublin whose primary focus is to advance clinical trials and to secure marketing authorization of novel therapies for the treatment of Pulmonary Arterial Hypertension (PAH), serving a previously unmet medical need by offering improved treatment options to the prescribing physician and new hope for the PAH patient. Founded by Professor Therese Kinsella, ATXA was incorporated in May 2015 and is the culmination of over 20 years of extensive research and over €15m of grant funding and a proven track record in understanding of the biology and signalling of the human prostanoid receptors in the cardiovascular disease and oncology setting. Supported with funding from a number of technology and commercialization development grants from Enterprise Ireland and Science Foundation Ireland, ATXA has developed a series of novel, highly selective small molecule drugs, and has identified and validated their potential use in a number of target disease indications including thrombosis/cardiovascular, oncology, anti-inflammatory and, in particular, in PAH. The ATXA team has expertise in cardiovascular and cancer biology with technical expertise in platelet biology, cellular and molecular biology, protein biology, pathological and histopathological and immunohistochemical techniques, digital pathology and biostatistics. In addition, ATXA have experience in drug discovery and early development; lead generation; lead optimization; candidate selection; medicinal chemistry; preclinical pharmacokinetics; intellectual property management and commercialization. ATXA Therapeutics Ltd will advance the late-stage development of their novel therapies that display substantial improvements over the existing standard-of-care, addressing critical unmet medical needs for efficacious new therapies to treat PAH.",,
AVA,a1c2a875-4756-2bcc-adbc-ce9986987dab,"Our mission is to enable individuals, organisations and societies to make the best-informed security decisions. We aggregate, standardise and contextualise internal and external data to provide decision makers with actionable insights. Covering all relevant risk-related information including crime, acts of terrorism, natural and industrial disasters, epidemics and many more, our solutions allow everyone to manage their past, present and future security. AVA is the operating system for a safer world, creating the foundation for anyone to build world-changing solutions in risk management.",,
AYLIEN,261791ff-c31a-a5fc-06a2-5ba21071b95a,"Aylien is an artificial intelligence startup that focuses on creating technologies that help machines understand human languages better. The firm provides Text Analysis and News API's that allow users to make sense of human-generated content at scale. AYLIEN also provides a range of content analysis solutions to developers, data scientists, marketers and academics. Their core offerings include packages of information retrieval, machine learning, natural language processing and image recognition APIs.",,
AYR,ece02ffc-ab5b-fbb2-825b-ae32a0c9a940,"AYR is an e-commerce driven womenswear line headquartered in New York City. Launched in February 2014, it was co-founded by Maggie Winter and Jac Cameron. The name AYR is an acronym for ''All Year Round.'' The line offers a range of womenswear clothing, with a focus on denim. AYR launched exclusively online but has expanded with a guideshop and through wholesale partnerships.",,
Aahaa stores,39584c47-d36b-2e0d-ddfa-aaa2b8d32013,"aahaa is an expression of joy, excitement and exhilaration. aahaa saves money for companies by being a strategic national vendor for all indirect product purchases in place of 100s of vendors for 1000s of products and several 1000 transactions.",,
Abartys Health,617ae6f2-9d1d-4ef9-b9ec-c6bcab131d53,"Abartys Health is a developer of a centralized communication platform designed to solve the global healthcare crisis. The company's centralized healthcare system offers a data hub that helps to increase medical record portability and universal patient identification, enabling users to streamlines services, communication, and treatments. The company was founded in 2015 and is based in Puerto Rico.",,
Ably Medical,13dac35e-bc97-e2b3-b708-91220d1e5d14,"Developing a universal platform for predictive health care, Ably makes patient handling and moving safer and nicer. To prevent some of the major challenges in health care today, we unprecedentedly combine patient mobility and monitoring in a bed. By technology we empower medical and nursing personnel with increased capacity to fulfil their true calling - to provide human care.",,
Abom,9e9488ee-9650-8adc-d3cf-a099db905d3c,"Abom is a group of inventors, scientists, and designers on a mission to make the future more fun. They're using Their superpowers to create world-class gear and solve the problems that get in the way of good times.",,
Abound,070b09e6-c0c3-2c73-298b-52a46c9db352,"Abound is the independent benefits API for those serving independent workers. Abound guides their partners in making benefits work for their ever-growing independent workforce. The company believes that enabling greater wealth and wellness for independent workers results in increased retention and revenue for those that serve them. It was founded in 2015 and headquartered in San Francisco, California.",,
Abram Scientific,b5a7a759-711d-4b8d-9636-12fdf072a54f,"Abram’s is a novel diagnostic platform for diagnosis and characterization of coagulation-related disorders, delivering rapid hemostasis information to improve clinical outcomes.",,
Abreos Biosciences,68161802-29a7-49d9-895e-5b5c469eb4e6,"Abreos Biosciences develops lateral flow assays that measure the activity of high-value biologics. Its simple devices can be used for quality assurance, pharmacokinetic monitoring, and authentication in field, forensic, or point of care settings. We deliver value by enhancing brand protection, improving patients’ outcomes, and enabling rapid authentication for counterfeit prevention and end-user confidence. The company was founded in 2013 and headquartered in San Diego, California.",,
Academy Xi,50c7cf09-4572-36a6-0d53-dd9e9b3296de,"Academy Xi is a future focused training company that provides short, practical and skill specific programs for individuals and teams to upgrade their capabilities in design and emerging technology. Our product mix is focused on emerging fields in Design and Tech and, in our classes, we aim to help individuals transform their careers. Our team training programs continue to attract large, progressive organisations who are looking to scale their design and tech capabilities. Using a structured, modular approach we customise our core programs to fit the unique needs of every company we engage with. We’re problem solvers and strive to embed purpose into what we do. Our vision is to truly transform the world through education and the community we’re building.",,
Accelerate Learning,96fb9d48-ae33-116b-6b1c-3a02934266c4,"Online, comprehensive, and hands-on #STEM curriculum for PreK-12 that puts teacher support at its center. Developed by Rice University & Accelerate Learning.",,
Access HealthNet,c77457bb-a137-411a-84d4-6b51e6864722,"Founded in 2014 by a team of dedicated healthcare professionals, Access HealthNet (AHN) administers cloud-based technology platforms called The Super Option and The Super Option Direct that connect healthcare providers offering value-oriented services in the form of flat-rates and bundles to self-funded, full-pay entities seeking the most direct connection possible. AHN also offers a similar platform in the workers compensation market. Additionally, AHN offers a SaaS solution to organizations desiring to offer, manage and administer bundled / flat-rate healthcare services.",,
Accomplice,dff2e040-e10a-518a-2042-a37497ff2ec9,"Accomplice is fast-growing, Series-A funded digital marketing software company based in San Francisco. We work with brands & agencies to make their marketing smarter by connecting the dots between digital marketing and business objectives.",,
Acconeer,5209ae45-0b09-8598-2e03-8d165eb31783,"Acconeer is a high tech startup developing sensors for next generation portable devices.With breakthrough technology Acconeer has developed a microradar that opens up a new world for human interaction.Their radar technology gives humans and devices an intuitive way of interpreting the surrounding, all while consuming micro Watt of power. One of their main strengths at Acconeer is that they have a highly skilled and experienced team. The company is headed by CEO Lars Lindell who has a background in the mobile industry where he has held management positions within sales and business development, both in major international companies as well as in startups. Lars also spent several years in venture capital and has been active in several locations ranging from Tokyo to Silicon valley.",,
Accufix,6c6907ef-5f1d-40c1-9076-02f31bdc7c8f,Accufix develops an FDA-approved toe joint resurfacing system designed to improve the symptoms of toe arthritis. It is used on the metatarsal or phalangeal side of the joint and is offered for the big toe as well as all lessor toes in both feet as it supports patients interested in maintaining an active lifestyle who do not want their joint fixated with plates and screws.,,
Accushield,60a3b2ff-f808-3ba3-96ab-bf938d313518,"The Accushield Sign-in Kiosk replaces the paper sign-in logs at entrances to Senior Living Communities and SNF’s and gives Operators the ability to sign in, record body temperature, and ask CDC-recommended COVID-19 screening questions for every staff member, visitor, and third-party caregiver that enters. In addition, the Accushield system provides a web-based dashboard enabling facility managers to report on and track all visitors, staff, volunteers, and third-party health care providers that sign in using the Accushield kiosk. The Accushield system can confirm receipt of required credentials from visitor, third-party healthcare providers and other vendors working in senior living communities. The Accushield system is customizable and can be used to verify that vendors and/or visitors have a COVID19 Vaccine Card, Negative COVID19 test result, proof of a criminal background check, sufficient liability insurance, negative TB, proper training, and other industry appropriate credentials before working with residents in a community. The company was founded in 2013 and is based in Atlanta, Georgia.",,
Ace Turtle,d2644ecf-b9cf-b886-5f29-50011dd1d4a8,"Ace turtle is a vertically integrated tech platform disrupting retail through technology. It’s at the forefront of new-age commerce bringing efficiency and scalability through the digital transformation of traditional Brands and Retailers. Ace turtle, with its proprietary platform – Rubicon, integrates online and offline retail channels enhancing efficiency and scalability through omnichannel transformation by intelligent use of data. Rubicon is used by large Global Brands as a SAAS Platform and is also leveraged by ace turtle for its licensed Brands portfolio. Its Licensed Brands portfolio includes long-term licenses of marquee brands Lee, Wrangler, Toys''R''Us, and Babies''R''Us. For more information please click on www.aceturtle.com",,
Acera Surgical,304cec87-9db1-dc37-9319-3f3b7ebbf33b,"Acera Surgical, Inc. has developed a portfolio of fully synthetic surgical materials that act as resorbable scaffolds for soft tissue repair and regeneration. Acera's products are designed to improve surgical efficiency, reduce surgical complications and cost, and facilitating superior clinical outcomes.",,
Ackcio,2212f0b7-035c-453f-368d-bda48231c948,"Ackcio builds real-time, reliable, wireless, monitoring solutions for industrial applications.",,
Acorus Networks,259b3186-5293-f576-8276-24178d5d83fb,"Acorus Networks is a French cybersecurity company, specialized in protection against distributed denial of service (DDoS) attacks on companies whose business activity, data or corporate image are critical on the Internet. As an Internet Service Provider, Acorus Networks deploys a large-scale network and scrubbing centers worldwide and provides innovative and non-intrusive security solutions ahead of customers’ network and Web infrastructures to guarantee high availability of online services for hosting providers, e-commerce, media, cloud, finance, government, healthcare, etc. Customers have a customized view of their legitimate traffic in order to counter manually or automatically any type of DDoS attack to which they may be exposed.",,
