org_name,org_uuid,long_description
ATAI Life Sciences,877a70c6-b6a3-4687-b191-cf3fa43fd868,"ATAI is a global biotech company builder that leverages a decentralized, technology- and data-driven platform model to serve millions of people suffering from mental health disorders. The company is committed to acquiring and efficiently developing innovative treatments that address significant unmet medical needs and lead to paradigm shifts in the mental health space. ATAI Life Sciences was founded in 2018 and is based in Munich, Bayern, Germany."
AUTO1 Group,df5860b0-5f65-c6fb-49d1-9e3132e1d5df,"AUTO1 Group is a used-car marketplace with its own certified and diversified inventory and a technology platform that allows buyers and sellers. AUTO1 is aimed primarily at the used car trade. By connecting buyers and sellers through technology the company enables consumers as well as dealers to trade seamlessly. Sourcing from all channels including OEMs and dealerships. AUTO1 Group owns business units like AUTO1.com, Autohero.com or wirkaufendeinauto.de. AUTO1 Group operates in almost 30 countries and continues to expand rapidly."
AbCellera Biologics,c168dcc8-f2c3-4677-93b9-30a85cdac221,"AbCellera focuses on therapeutic antibodies, screening, choosing, and analyzing millions of naturally produced antibodies to be used as next-generation drug candidates. It specializes in the fields of biotechnology, medicine, and therapeutics."
Ablative Solutions,60285140-66f8-4539-b42f-2ed4a502beeb,"Ablative Solutions is a medical device firm that offers an alternative to surgical renal denervation for treating hypertension. Its technology involves endovascular catheters to provide an efficacious, durable, cost-effective, and safe alternative to surgical renal denervation for the treatment of hypertension and other diseases caused by an overactive sympathetic nervous system. The company was founded in 2011 by Tim Fischell, MD, FACC, and David Fischell, Ph.D., to address this significant unmet medical need."
Abnormal Security,ea5170c0-5c33-40cb-8a18-7dd42d8efcd6,"Abnormal Security is an email security company that protects enterprises from targeted email attacks. The platform takes a data science approach to provide everything needed for comprehensive email protection, detection, and response. Abnormal Behavior Technology (ABX) models the identity of both employees and external senders, profiles relationships, and analyzes email content to stop attacks that lead to account takeover, financial damage, and organizational mistrust. Though one-click, API-based Office 365, and G Suite integration, Abnormal sets up in minutes and does not disrupt email flow."
Absci,c94583cc-c687-f207-3a7f-c0ee9b035f68,"Absci is the drug and target discovery company harnessing deep learning AI and synthetic biology to expand the therapeutic potential of proteins. We built our Integrated Drug Creation™ Platform to identify novel drug targets, discover optimal biotherapeutic candidates, and generate the cell lines to manufacture them in a single efficient process. Biotech and pharma innovators partner with us to create the next generation of protein-based drugs, including Bionic Proteins™ containing nonstandard amino acids, and other novel drug designs that may be impossible to make with other technologies. Our goal is to enable the development of better medicines by Translating Ideas into Drugs™. For more information visit www.absci.com."
Accel Club,5034db7f-b2f0-470a-81c3-8698ff6e5dd4,"Accel Club is a platform that is buying, operating, and launching e-commerce businesses."
AcertaPharma,ec6935fd-2a3e-6e6c-8dcc-612ec8b1bb49,"Acerta Pharma is focused on the development of covalent binding technology solutions to create therapies for cancer. Acerta Pharma was acquired by AstraZeneca in February 2016. Acerta Pharma was founded in 2013 and is based in San Carlos, California."
Achilles Therapeutics,07bc8083-1155-c363-4bb8-c63215f5f26c,"Achilles Therapeutics is a developer of immunotherapies intended to offer next-generation, patient-specific therapies to treat cancer. The company's immunotherapies harness the immune system to destroy cancer cells that target truncal tumor neo-antigens and flags to the immune system present on the surface of every cancer cell, enabling scientists to target and destroy tumors without harming healthy tissues."
Acko,d7a3a423-f6e5-f0b1-96fa-6e5f35e47765,Acko is an online insurance policy provider with its entire operations offered through the digital platform. It creates products and delivers opportunities in areas such as personalized insurance products based on user consumption behaviors. Acko offers bite-sized insurance products for drivers and others working in transportation and related sectors. It has also expanded its catalog and began offering similar policies in healthcare. The company was co-founded by Varun Dua and Ruchi Deepak in 2016.
Acorns,916693b6-1588-fdb6-26d3-99abbae3cce6,"Acorns is a finance company that allows individuals to round up purchases and automatically invest the change. It allows customers to automatically invest in a low-cost, diversified portfolio of exchange-traded funds offered by some asset managers including Vanguard and BlackRock. Acorns was founded in 2012 and is headquartered in Irvine, California."
AdTheorent,015887d8-1cd1-4c94-0941-ad27ce721e8b,"AdTheorent is a provider of predictive digital advertising technology and solutions for brands and agencies. The Company leverages Big Data and its proprietary machine learning technology, as well as cross-environment mapping to predictively connect advertisers with their optimal audiences, at scale. Barometric®, AdTheorent’s cross-channel attribution SaaS solution, maps disparate user IDs across numerous devices and environments to a single user, allowing brands to accurately track user engagement and path to purchase."
Ada,3e8ddad8-d168-3a24-ae9c-1ab0412a8f0e,Ada is a computer software company that features a chatbot-based platform that helps enterprise businesses to automate customer experience. Its platform operates through both web and mobile machine learning engine that reduces support volume and empowers customers to find answers on their own. The company was founded in 2016 and headquartered in Toronto in Canada.
Ada Health,b81cef58-e3ef-6c7a-55f8-1c30ddfc7697,"Ada is a global health company founded by doctors, scientists, and industry pioneers to create new possibilities for personal health. Ada’s core system connects medical knowledge with intelligent technology to help all people actively manage their health and medical professionals to deliver effective care. Ada is proud to collaborate with leading health systems and global non-profit organizations to carry out this vision. Ada Health was founded in 2011 and is based in Berlin, Germany."
Adagene,87c8abaf-8337-9d4c-17cc-007bcb08de15,"Adagene is a clinical-stage biotech company that specializes in developing immuno-oncology antibodies against novel epitopes. It has its proprietary Smart Antibody Technology, which increases success rates, substantially accelerates time to market, and reduces the costs associated with developing a therapeutic antibody."
Addi,0eeff0e7-72d5-4b4a-ac66-bb8e94f9d4b5,"Addi is a technology company that provides credit and banking solutions. Addi seeks to promote and enable digital commerce in Latin America. Addi was founded in 2018 and is headquartered in Bogota, Colombia."
Adjust,a9c99b38-cdb6-097a-01c1-8797ec7050a2,"Adjust is the mobile marketing analytics platform trusted by marketers around the world, with solutions for measuring and optimizing campaigns and protecting user data. Adjust powers thousands of apps with built-in intelligence and automation, backed by responsive global customer support. In 2021, Adjust was acquired by AppLovin (Nasdaq: APP), a leading marketing software platform providing developers with a powerful, integrated set of solutions to solve their mission-critical functions like user acquisition, monetization and measurement. Learn more about Adjust at www.adjust.com."
Adrestia Therapeutics,e1c023c2-bfda-44ae-b401-0b3caa4aff43,"Adrestia Therapeutics are leaders in synthetic rescue, an approach that decodes the complexity of genetic networks to reveal new ways to treat diseases."
Adverity,56080191-2938-9e5c-e70f-74bcb4c4f84e,"Adverity is a marketing analytics platform specialized in enabling data-driven marketing teams to make decisions. By transforming siloed data into actionable insight, Adverity reduces the complexity in demonstrating the return on investment of multichannel campaigns. Through automating data integration from hundreds of sources, our vendor-agnostic, end-to-end platform delivers a single view of marketing performance across your business. With the help of data visualizations, Adverity reveals the tangible business impact of marketing activities and improves performance by uncovering real-time opportunities to fuel growth with augmented analytics. Adverity allows teams to utilize their data and turn it into insights, decisions, and actions. Founded in 2015, Adverity powers the marketing intelligence of some brands and agencies, including IKEA, Red Bull, GroupM, Unilever, Omnicom, Barilla, JD Sports, and Forbes. The company is headquartered in Vienna and has offices in London and New York."
Aerin Medical,c37e637a-bcdd-8c95-b0f1-08c92a6ef024,"Aerin Medical is a health technology company that develops therapeutic devices to improve nasal breathing. Its device utilizes low-power radiofrequency energy to remodel nasal soft tissues and address the underlying cause of nasal congestion, enabling patients suffering from nasal breathing disorders to open their nasal airways quickly, safely, and effectively. Founded in 2011, the company is based in Sunnyvale, California, United States."
Aetion,aef45b98-df97-576d-06e7-ccd439be5f8e,"Aetion delivers real-world evidence (RWE) and outcomes-based analytics solutions to life sciences companies, payers, and at-risk providers. With its patented rapid-cycle analytics technology, the Aetion Evidence Platform utilizes the everyday clinical and financial interactions of the healthcare system to unlock essential evidence about the effectiveness and value of medical treatments. Founded by Harvard Medical School faculty members and top big data technologists, Aetion enables payers and providers to collaborate with biopharmaceutical and medical device companies in real-time to develop therapeutic insights and make smart choices in inpatient care. Aetion is based in New York City and backed by investors including New Enterprise Associates (NEA), Flare Capital Partners, Lakestar, Greenspring Associates, Town Hall Ventures, McKesson Ventures, Sanofi Ventures, EDBI, Amgen Ventures, Johnson & Johnson Innovation — JJDC, Inc., UCB, and Horizon Health Services, Inc."
Aeva,43148b6b-e00b-5339-ca65-971b1228c0b1,"Aeva develops a sensing and perception paradigm for autonomous machines. Its technology brings together the best of vision, depth, and motion sensors into a single product with superior performance. Compared to today's best in class, it provides greater range and resolution across weather conditions and a new dimension to precisely measure velocity of every pixel in the scene. Founded in 2016, Aeva is based in Mountain View, California."
"Affera, Inc.",039b0a20-89a2-4411-9d55-63c01b444708,"Affera is a medical technology company dedicated to developing innovative solutions for the treatment of cardiac arrhythmia, a prevalent condition affecting millions of patients worldwide."
Affini-T Therapeutics,5d39e858-d846-4b9e-8e5a-944051f34581,Affini-T Therapeutics is a biotechnology company developing T-cell therapies for patients suffering from cancer. Affini-T uses a validated platform to select high-affinity T cell receptors specific to oncogenic mutations to pioneer cutting-edge solid tumor therapies. Affini-T leverages gene editing and synthetic biology to engineer novel T-cell therapies designed to eradicate tumors.
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,"Affinivax is a biopharmaceutical company developing vaccines used to enhance the depth of protection against infectious diseases. This novel and highly efficient vaccine conjugation technology – named MAPS for Multiple Antigen Presenting System – has the potential to deliver novel vaccines that offer broader disease coverage than existing vaccines, as well as protect against infectious diseases for which there are no effective immunization strategies today. The company is rapidly advancing a lead program targeting Streptococcus pneumoniae (pneumococcus), a pathogen that is responsible for significant morbidity and mortality in children and adults worldwide. Affinivax was established based on the knowledge and insights of world-leading experts in the fields of infectious diseases and vaccines. The company is backed by an investment from the Bill & Melinda Gates Foundation and has an exclusive license from Boston Children’s Hospital for intellectual property related to the MAPS technology platform."
Affirm,a88ad535-ebd4-02ab-3f45-8902997d4437,"Affirm is a financial technology services company providing installment loans to consumers at the point of sale. The company was founded with the goal to create honest financial products and services that empower consumers and improve lives. It aims to revolutionize the banking industry to be more accountable and accessible to consumers. Today, Affirm provides shoppers an alternative to traditional credit cards at the point of sale, giving them the flexibility to buy now and make simple monthly payments for their purchases. Unlike payment options that have compounding interest and unexpected costs, Affirm shows customers upfront exactly what they’ll pay each month — with no hidden fees and no surprises. Affirm partners with over 2,000 merchants to give shoppers the option to pay with Affirm at checkout including well-known brands across retail including home furnishings, travel, personal fitness, electronics, apparel and beauty, and more. Loans are made in partnership with Afirm’s originating bank partner Cross River Bank, a New Jersey State Chartered Commercial Bank, Member FDIC. Jeffrey Kaditz, Max Levchin, and Nathan Gettings established the San Francisco, California-based company in 2012."
Afterpay,73dcd501-3e89-471b-9c34-b7a77ecabb1f,"Afterpay Limited has transformed the way people pay by giving merchants the ability to allow shoppers to receive products immediately and pay in four simple installments over a short period of time. The service is completely free for customers who pay on time - helping consumers spend money responsibly without incurring interest, fees or revolving and extended debt. As of May 2020, Afterpay is offered by more than 50,000 of the world's best retailers and is used by more than 9 million active customers globally."
Agile Robots AG,20885962-6777-4fd3-a4bc-c39e36e658da,"Agile Robots is an intelligent robot system development and application service provider, dedicated to the development and application of intelligent robot systems. The core products include 7-degree-of-freedom lightweight arm and general-purpose robot controller. , robot vision system, etc."
Agility Robotics,d3280aba-4b61-6e7d-655d-0988cc3bbd40,"Agility Robotic's legged locomotion expertise is built on a history of academic research, including the bipedal walking and running robot ATRIAS. Agility Robotics is leveraging this work to create products that address the real world needs of rugged, efficient, and highly capable mobility platforms."
Agora.io,c5fda600-96e3-3a3d-4e1a-112e994a5f9b,"Agora is a high-growth Communications-Platform-as-a-Service (CPaaS) provider delivering mobile-first, real-time communications for developers and businesses globally. Agora's API is the most widely adopted API for real-time communications around the world, installed on more than 500 million devices and rapidly growing. The Agora real-time communication stack includes features like include voice calling, video calling, group conferencing, interactive broadcasting, and much more. Reliable, accessible and scalable, Agoria.io provides communications services to organizations across industries, including telemedicine, education, financial services, customer service, social media applications, and mobile gaming."
Aibee,33885a3e-b133-4557-a1cc-64e2d5e2ead3,"Aibee is an AI startup that develops speech recognition, big data analysis, and natural language processing technologies. Founded by Dr. Yuanqing LIN in November 2017, Aibee is China’s leading AI startup providing AI total solutions and its mission is to empower and upgrade vertical industries with AI. At Aibee, they are working to perfect AI technologies for each industry by building total AI solutions that allow closing the loop among data, algorithms, technologies, and products/services. Aibee applies the most advanced and innovative AI technologies (computer vision, speech recognition, natural language understanding, big data analytics, robotics, etc.) to transform efficiency, productivity, and business value of their target vertical industries by gaining a deep understanding of pain points, needs and objectives of their clients as well as by creating new business opportunities."
Aidoc,c50a4b0c-8c71-4249-6ed7-4a376f2c1831,"Aidoc is a provider of artificial intelligence healthcare solutions that empower physicians to expedite patient treatment and enhance efficiencies. Aidoc's AI-driven solutions analyze medical images directly after the patient is scanned, suggesting prioritization of time-sensitive pathologies, as well as notifying and activating multidisciplinary teams to reduce turnaround time, shorten length of stay and improve overall patient outcomes. Aidoc was founded in 2016 and is based in Tel Aviv, Israel."
Aimmune Therapeutics,dd1036ba-1dad-1b64-fe2f-c3b1b05c1383,"Aimmune Therapeutics is a company operating in the United States biotechnology industry. Its main focus is in the development of product candidates to combat peanut and other food allergies. The company's therapeutic approach, which is referred to as Characterized Oral Desensitization Immunotherapy, is a system designed to desensitize patients to food allergens using characterized biologic products, defined treatment protocols, and support services."
AirTrunk,b3758fbe-21b4-c298-9493-e1a2dcc109d9,"AirTrunk is the technology company powering the companies transforming the world. It develops and operates large scale wholesale data centers that lead the Asia Pacific market with proven reliability, technology innovation, and energy efficiency. AirTrunk was founded in 2014 and is based in North Sydney, Australia."
Airbase,a882136a-ca5b-44a4-9a54-03d3a37cb690,"Airbase is the only spend management platform that scales for companies from founding to IPO and beyond. It brings together three products: a comprehensive accounts payable automation system, a leading-edge corporate card program, and fully automated employee expense reimbursements. Simply put, it handles every dollar of non-payroll spend that leaves a company, from initial request for spend, to booking to the general ledger. Spend management is a different approach and a new way of thinking about how companies spend money. It shifts the relationship between employees and the budget by building accountability into fast-paced workflows and supporting ownership of spending, which are especially vital functions for a distributed workforce. Companies customize approval workflows to ensure the appropriate routing of requests while building an audit trail of compliance for every purchase. Approvals occur in Slack, email, or the Airbase mobile app so that approvers can quickly review and approve or ask questions without having to leave their working communication environment. Accounting automation tools for scheduling, accruing, amortizations, and categorizing transactions save time and eliminate errors. A full selection of payment types, including virtual cards, physical cards, checks, ACH, and vendor credits, all from one control center, make AP teams efficient and even open opportunities to optimize returns by selecting payment types that generate cash back whenever possible. When every dollar of non-payroll spend is handled on one platform, actual spending against the budget can be viewed any day of the week by all stakeholders. Airbase improves operations across the whole company. Employees are empowered to safely and easily get the resources they need to be productive. Managers have oversight and control of their budgets. Finance teams are more efficient with accounting automation. Leadership has access to real-time data for better decision-making. All benefit from Airbase’s well-designed and intuitive user interface that is easy to onboard and simple to use. Finance teams in small and mid-market companies are underserved by existing process automation tools for accounts payable and expense management. The resulting cobbled-together solutions, inefficient processes, and manual workflows place strain on finance teams and can confuse or frustrate employees. Airbase’s single platform solution can replace many of the software tools that are widely used, including spreadsheets, Expensify, Bill.com, Brex, and AMEX. This replacement streamlines processes, eliminates cross-platform reconciliation needs, and even reveals wasted spend. The Airbase platform consolidates three functional areas without asking users to compromise on the quality or functionality expected from a best-of-breed solution. This allows companies to enjoy the benefits of having everything available in one place and standardized to the same workflows without missing the value of legacy point solutions. Current practices can stymie growth, degrade decision-making, and relegate finance staff to low-value manual work. Airbase gives companies the efficiencies they need to grow, from founding to IPO, without investing heavily in back-office staff. The Airbase spend management solution unlocks trapped talent, provides visibility and control over all non-payroll spend, shortens the close, and provides better budget management so you can build a great company."
Airbyte,2e57ec62-4182-4378-b4da-1272a233b3bb,"Airbyte is an open-source data integration platform that syncs data from applications, APIs, and databases to warehouses. Airbyte’s modular architecture and open-source nature let's data engineering teams handle everything from one single platform."
Aircall,620ec841-253e-93d2-e415-a5b8067c4e76,Aircall provides a cloud-based voice platform that integrates with productivity and helpdesk tools that workplaces are already using to make phone support easy to manage.
Aireon,d621618e-10f6-8f9c-cb9c-fe5532b28e9f,"Aireon plans to transform the business of air traffic management on a global scale by providing an infrastructure that will enable optimization of air operations around the world. Powered by Iridium innovation and the world’s furthest reaching network, the AireonSM design will deliver the first-ever space-based global aviation surveillance system. AireonSM global monitoring will have a dramatic impact on the aviation industry—increasing efficiencies and fuel savings while offering exciting new applications and business opportunities."
